Title,Problem
 Probability of Knight ,"
Given an NxN chessboard and a Knight at position (x, y). The Knight has to take exactly K steps, where at each step it chooses any of the 8 directions uniformly at random. Find the probability that the Knight remains in the chessboard after taking K steps, with the condition that it can’t enter the board again once it leaves it.
 
Example 1:

Input : N = 8, x = 0, y = 0, K = 3
Output: 0.125000

Example 2:

Input: N = 4, x = 1, y = 2, k = 4
Output: 0.024414

 
Your Task: 
You don't need to read or print anything. Your task is to complete the function findProb() which takes N, x, y and K as input parameter and returns the probability.
 
Expected Time Complexity : O(N 3)
Expected Space Complexity: O(N3)
 
Constraints:
1 <= N <= 100
0 <= x, y <= N
0 <= K <= N

"
 Twice Counter ,"
Given a list of N words. Count the number of words that appear exactly twice in the list.
Example 1:

Input:
N = 3
list = {Geeks, For, Geeks}
Output: 1
Explanation: 'Geeks' is the only word that 
appears twice. 
Example 2:

Input:
N = 8
list = {Tom, Jerry, Thomas, Tom, Jerry, 
Courage, Tom, Courage}
Output: 2
Explanation: 'Jerry' and 'Courage' are the 
only words that appears twice. 

Your Task:  
You dont need to read input or print anything. Complete the function countWords() which takes integer N and list of strings as input parameters and returns the number of words that appear twice in the list.

Expected Time Complexity: O(N)
Expected Auxiliary Space: O(N)  

Constraints:
1<= N <= 104
 

"
 Common Subsequence ,"
Given two strings a and b. Check whether they contain any common subsequence (non empty) or not.
Example 1:

Input:
a = ""ABEF"" b = ""CADE""
Output: 1
Explanation: Subsequence ""AE"" occurs
in both the strings.


â€‹Example 2:

Input: 
a = ""ABCD"", b = ""EFGH""
Output: 0
Explanation: There's no common subsequence
in both the strings.


Your Task:
You don't need to read input or print anything. Your task is to complete the function commonSubseq() which takes the string a and string b as inputs and returns true if there's a common subsequence in both the strings. Else, it returns false.

Expected Time Complexity: O(|a| + |b|).
Expected Auxiliary Space: O(1).

Constraints:
2 <= |a|, |b| <=105
 

"
 Element appearing once ,"
Given a sorted array A[] of N positive integers having all the numbers occurring exactly twice, except for one number which will occur only once. Find the number occurring only once.
Example 1:

Input:
N = 5
A = {1, 1, 2, 5, 5}
Output: 2
Explanation: Since 2 occurs once, while
             other numbers occur twice, 
             2 is the answer.
Example 2:

Input:
N = 7
A = {2, 2, 5, 5, 20, 30, 30}
Output: 20
Explanation: Since 20 occurs once, while
             other numbers occur twice, 
             20 is the answer.
User Task:
Your task is to complete the function search() which takes 2 arguments(array A and N) and returns the number occurring only once.
Expected Time Complexity: O(Log(N)).
Expected Auxiliary Space: O(1).
Constraints
0 <   N  <= 10^6
0 <= A[i] <= 10^9

"
 Digit multiplier ,"
Given a positive integer N, find the smallest number S such that the product of all the digits of S is equal to the number N. If there's no such number, Print ""-1"".
 
Example 1:

Input:
N = 100
Output:
455
Explanation:
4*5*5 = 100. There are no numbers
less than 455 with the product of
it's digit as 100.
Example 2:

Input:
N = 26
Output:
-1
Explanation:
There are no numbers which can form
a product of 26 with its digits.
 
Your Task:
You don't need to read input or print anything. Your task is to complete the function getSmallest() which takes an Integer N as input and returns the answer as a String.
 
Expected Time Complexity: O(log(N))
Expected Auxiliary Space: O(1)
 
Constraints:
1 <= N <= 109

"
 Uncommon characters ,"
Given two strings A and B. Find the characters that are not common in the two strings. 
Example 1:

Input:
A = geeksforgeeks
B = geeksquiz
Output: fioqruz
Explanation: 
The characters 'f', 'i', 'o', 'q', 'r', 'u','z' 
are either present in A or B, but not in both.
Example 2:

Input:
A = characters
B = alphabets
Output: bclpr
Explanation: The characters 'b','c','l','p','r' 
are either present in A or B, but not in both.

Your Task:  
You dont need to read input or print anything. Complete the function UncommonChars() which takes strings A and B as input parameters and returns a string that contains all the uncommon characters in sorted order. If no such character exists return ""-1"".

Expected Time Complexity: O(M+N) where M and N are the sizes of A and B respectively.
Expected Auxiliary Space: O(M+N)  

Constraints:
1<= M,N <= 104
String may contain duplicate characters.
 

"
 Sum of two large numbers ,"
Given two non-negative numbers X and Y. The task is to calculate the sum of X and Y. 
Example1:

Input: X = ""25"", Y = ""23""
Output: 48
Explanation: The sum of 25 and 23 is 48
Example1:

Input: X = ""2500"", Y = ""23""
Output: 2523
Explanation: The sum of 2500 and 23 is 2523
Your Task:
Your task is to complete the function findSum() which takes two strings as inputs and returns the string without leading zeros. You do not need to take any input or print anything.
Expected Time Complexity: O(|X| + |Y|)
Expected Auxiliary Space: O(1)
Constraints:
1 <= |X|, |Y| <= 105

"
 Substrings with similar first and last characters ,"
Given string s, the task is to find the count of all substrings which have the same character at the beginning and end.
Example 1:

Input: s = ""abcab""
Output: 7
Explanation: a, abca, b, bcab, 
c, a and b
Example 2:

Input: s = ""aba""
Output: 4
Explanation: a, b, a and aba
User Task:
Your task is to complete the function countSubstringWithEqualEnds() which takes a single string as input and returns the count. You do not need to take any input or print anything.
Expected Time Complexity: O(|str|)
Expected Auxiliary Space: O(constant)
Constraints:
1 <= |s| <= 104
s contains lower case english alphabets

"
 Count Substrings ,"
Given a binary string S. The task is to count the number of substrings that starts and end with 1.
Note: The starting and the ending 1s should be different.
Example 1:

Input:
S = ""10101""
Output: 3
Explanation: The 3 substrings are ""101"",
""10101"" and ""101"".


â€‹Example 2:

Input: 
S = ""100""
Output: 0
Explanation: No substring that starts and
ends with 1.


Your Task:
You don't need to read input or print anything. Your task is to complete the function countSubstr() which takes the string S as input and returns the count of the substrings that start and end with 1.

Expected Time Complexity: O(|S|).
Expected Auxiliary Space: O(1).

Constraints:
1 <= |S| <= 1000
 

"
 Add Binary Strings ,"
Given two binary strings A and B consisting of only 0s and 1s. Find the resultant string after adding the two Binary Strings.
Note: The input strings may contain leading zeros but the output string should not have any leading zeros.
Example 1:

Input:
A = ""1101"", B = ""111""
Output: 10100
Explanation:
 1101
+ 111
10100

â€‹Example 2:

Input: 
A = ""10"", B = ""01""
Output: 11
Explanation: 
  10
+ 01
  11


User Task:
You don't need to read input or print anything. Your task is to complete the function addBinary() which takes 2 binary string A and B and returns a binary string denoting the addition of both the strings.

Expected Time Complexity: O(max(|A|, |B|)).
Expected Auxiliary Space: O(max(|A|, |B|)) (for output string).

Constraints:
1 <= |A|, |B| <= 1000000
 

"
