,AmazonSDETQuestions
0,<p>I was interviewed for the position of SDET-1 few days back at Chennai. Here is my interview experience: <!--more--></p>
1,"<p><strong>Coding  round (Full code required):</strong><br/>
1) <a href=""https://practice.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1"" rel=""noopener"" target=""_blank"">Given a linked list. Check whether it is a palindrome</a> (without using  any extra space).<br/>
2) <a href=""https://practice.geeksforgeeks.org/problems/mirror-tree/1"" rel=""noopener"" target=""_blank"">Write a program to return the mirror tree of a given binary tree.</a><br/>
3) <a href=""https://practice.geeksforgeeks.org/problems/rotate-by-90-degree/0"" rel=""noopener"" target=""_blank"">Given a 2-D array, Rotate it by 90 degrees.</a></p>"
2,"<p><strong>F2F-I:</strong><br/>
1) Given a phone number. Check whether it is unique or not(ie no duplicates)<br/>
I gave a o(n^2) TC algo first which he wanted to optimize. After 3 series of optimization ,I came up with a  o(n) solution with o(1) space complexity.</p>"
3,"<p>2)<a href=""https://practice.geeksforgeeks.org/problems/level-order-traversal/1"" rel=""noopener"" target=""_blank""> The interviewer told me to code a level order traversal in a binary tree.</a></p>"
4,"<p>3) An array of numbers are given such that the absolute difference between adjacent elements is 1.Given a value…Return the index of the 1st occurrence of that element.<br/>
I gave an solution where in the 1st value is subtracted from the search value and hops in the array by that difference. if the reached value is the search value ,then return the index or just continue this process. The interviewer was impressed by my solution and told me to code it.</p>"
5,"<p><strong><br/>
F2F-2:</strong><br/>
1) Brief discussion of work in current company</p>"
6,"<p>2) <a href=""https://practice.geeksforgeeks.org/problems/construct-binary-tree-from-parent-array/1"" rel=""noopener"" target=""_blank"">A given  array represents a tree in such a way that the array value gives the parent node of that particular index.The value of the root node index would always be -1.Find the height of the tree.</a></p>"
7,<p>        I gave a iterative solution which was told to be optimized. I did optimize it using memorization concept. I had to code it too.</p>
8,"<p>3)<a href=""https://practice.geeksforgeeks.org/problems/find-the-median/0"" rel=""noopener"" target=""_blank""> Write a program to find the median of 2 sorted arrays when merged.</a></p>"
9,<p>This problem is there in geeksforgeeks.</p>
10,"<p>4)Write an optimised  program to find the number of factors for a particular number<br/>
This was a very simple qn.</p>"
11,"<p><strong>F2F-3:</strong><br/>
1) Brief discussion of work in current company. Why Amazon?</p>"
12,<p>2) Why do you want to leave current company? What do you like most and dislike most about your current company?</p>
13,<p>3) Design a automation framework to test a simple site with a login page .Give the various test cases also that should be considered. Later they told me to give some  enhancements to the code too.</p>
14,<p>4) Design a automation framework to test twitter api’s that is used in a particular site .</p>
