Job Title,Company Name,Location,Description
 SDET , Isoftech Inc , Remote,"U.S. Citizen/Those authorized to work in the United States without sponsorship are encouraged to apply. ONLY due to legal or government contract requirements.
This is a 100% REMOTE role.
Qualifications:
Bachelor's degree in a technical field such as computer science, computer engineering or related field required
5-7 years of experience required Development and programming experience.
Good experience in Java and Typescript.
Strong experience in Selenium and Cucumber.
Experience in Angular is a plus.
Experience in AWS is a plus.
Experience with automated testing tools and technologies
Job Responsibilities:
Execute test plans, scenarios, scripts or procedures
Test system modifications to prepare for implementation
Develop testing programs that address areas such as database impacts, software scenarios, or usability
Document software defects, using a bug tracking system, and report defects to software developers
Identify, analyze and document problems with program function, output, online screen or content
Monitor bug resolution efforts and track successes
Create or maintain databases of known test defects
Plan test schedules or strategies in accordance with project scope or delivery dates.
For more details, please call/text: 703.594.9061"
 Software Development Engineer in Test (SDET) - RPA Seni , Deloitte ," Lake Mary, FL, USA","Software Development Engineer in Test (SDET)- RPA Specialist


Are you an experienced, passionate pioneer in RPA technology?

A Software DevelopmentEngineerin Testwho wants to work in a collaborativeenvironment while providing best class services to our clients? As an SDET - RPA Specialist you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel.Consider an opportunity with our US Delivery Center - we are breaking the mold of a typical Delivery Center.

Our US Delivery Centers have been growing since 2014 with significant, continued growth on the horizon. Interested? Read more about our opportunity below ...

Work you'll do/Responsibilities

ImplementRPA Automation solutions to test automation functions using tools such asBlue Prism or UiPath
RecommendRPA processes and developsolutions to assist QA/Test Engineers in test planning, execution, and reporting.
Drive deployment of RPA components within QA: bots, robots, development tools in the QS space
Work with QA/Testing teams to determine identify gaps and constraints associated with testing requirements and business processes and provide solutions to resolve the issues
Drive best practices in QA Engineering specifically in Intelligent Robotics and Automation.
Develop strategies and scenarios for review with both project and client teams to ensure alignmentwith project delivery documentation

The Team

Our Systems Engineering team delivers large-scale software applications and integrated systems, and assists clients with architecture design, assessment and optimization, and definition. We develop service-oriented architecture (SOA) and other integration solutions to enable information sharing and management between business partners and disparate processes and systems, and we deliver technology enablement to support CIO services transformation.

SystemsEngineeringprofessionals focus on key client issues that impact the core business by maximizing operational value, driving down the cost of quality, and enhancing technology innovation. Our teams deliver a wide range of services, including application architecture design and optimization, application modernization, business process management and solution integration, custom application design and development, and large-scale technology delivery program efforts.

Basic Qualifications

Bachelor's Degree or equivalent work experience
Experience withRPAtools such as Blue Prism, and/or UiPath
Experience in comprehensive software testing techniques and methodologies
Experience with scripting languages such as C#, Java Script, or Visual Basic
Solid understanding of programming concepts and knowledge ofobject oriented development fundamentals
Ability to multi-task wile supporting multiple priorities/multiple deliverables
Strong verbal and written communication skills, especially when communicating technical topics to business stakeholders
Legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future
Must be able to live, commute, or relocate to the Lake Mary, FL or Gilbert, AZ area.
Travel up to 20%

Preferred Qualifications:
Experience in test automation solutions such asCucumber or Selenium (or other equivalent industry standard solutions)

How you'll grow
At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-joblearning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.

Benefits
At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits.

Deloitte's culture
Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can helpthem to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.

Corporate citizenship
Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. .

Recruiter tips
We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you're applying to."
 SDET with Native App testing Experieence , CloudLogic ," Remote or San Francisco, CA, USA","SDET Engineer with experience in Native app testing/automation along with Web.

Or

SDET Engineer with Experience in web testing and Big data/Elasticsearch testing."
 Sr SDET - 100% REMOTE , Savantis Solutions LLC ," Remote or Rockville, MD, USA","Need only : ====s
Only W2
Client
Position
# Candidates
# Positions
Skillset
Duration
Location
Work Auth.
Rmax ID
FINRA
Sr. SDET
2
3
10+years' experience overall as a programmer or SDET or combo; 5+ years' experience as a true SDET; Programming- Angular, React (prefers Agular but React is ok); AWS Services, Lambda, MongoDB, GraphQL; Test automation- java, selenium, cucumber- all; Type scripts, any other UI framework; Need Jenkins experience; Performance testing experience using tools link-load runner, Jmeter, tools like Gatling **role is 80-90% programming, need to come from programming background over testing background**
Long term contract
100% remote
====
JO000000541
Praveen Pasumarthi
(Formerly Vedicsoft)
Email :
Hotline : +1Ext 2984
20 Years in Business. $50+ million revenues. 400+ employees."
 SDET Engineer (W2/1099 Only) , NJTECH INC. , Remote,"We at NJTECH are scouting for some best SDET for one of our esteemed clients on a Remote basis.  
If you wish to pursue this opportunity, please forward your updated resume and your expected pay-rate/hr on W2/1099/Own Corp C2C as well.
The job description is as follows: 
 Job Title: SDET
Work Location: Remote to start
On-site/Remote: Remote during COVID-19
Engagement Type: W2/1099//Own Corp C2C 
Duration: Long Term 
Start Date: Immediate & Urgent 
 Mandatory Skills:
Experience: 5+ years
Selenium least 4 years.
C# Should able to write codes to build the test frameworks.
Ability to work independently while maintaining absolute focus to complete work items
Building CI/CD pipeline
Testing REST-based APIS.
Responsibilities:
Main responsibility of the position will be test data/script creation, update and execution of UI test automation for the feature team.
Conducts In-sprint Test Design, Test planning Test automation development, and Test execution.
Conducts Manual testing, and uses exploratory testing techniques to uncover weaknesses in testing test approaches/processes.
Writes robust automated tests for high availability and highly scalable applications which will be used by both internal and external customers.
The teams need individuals with strong Software Test engineering knowledge and experience.
We are looking for candidates who have a strong background in Software Testing methodologies, with demonstrated success in developing automation frameworks, comprehensive automation test suites at both the UI and Service layer, with proven abilities to innovate and be creative.
Ideal candidates will have Testing experience in Agile Scrum teams, object-oriented programming domains and experience in large multi-national corporations.
“NJTECH is a globally managed IT services, IT consulting and business solutions partner. Our ""High Performance Business"" strategy builds our expertise in technology and consulting. We play a major role in helping our clients to achieve their objectives at the highest level; ultimately creating sustainable value to customers.”
Wishing you a great day ahead and I look forward to hearing back from you."
" Lead SDET/ Test Automation Engineer (Core Java, AWS, DevOps) ", SESC ," Remote or Washington, DC, USA","Sr SDET/Test Automation Engineer (AWS/DevOps/Core Java)
Position is remote until further notice and will then be onsite.
Multiple Locations: Washington, DC
NO CORP-TO-CORP OR SPONSORSHIP AVAILABLE FOR THIS POSITION
Job Summary:
Sr SDET/Test Automation Engineer
1) Pure SDET...Senior
2) Core Java
3) Strong backend data knowledge SQL
4) Building Frameworks
5) BDD and Cucumber
6) AWS experience
7) Devops and/or CI/CD

Sr. QA Automation Engineer to be lead and be a mentor to a team that lacks testing experience. Will be designing and developing the Automation Test Framework. Must be Senior enough to build their own framework and be the only true QA on a Team. Core Java programming to code the automation of backend or data layer part of application. Selenium can and will be used. BDD and Cucumber required also . Working on financial modeling or risk modeling applications. Strong backend or data knowledge with SQL and/or PLSQL. Will be working with Unix/Linux command Line for parsing data. BDD, Cucumber experience mandatory. Knowledge of financial or risk modeling is a plus. Maven, Jenkins and Sauce Labs are also part of the platform.
Benefits:
SES hires W2 benefitted and non-benefitted consultants. Our contract employee benefits include group medical dental vision life LT and ST disability insurance, 21 days of accrued paid time off, 401k, tuition reimbursement, performance bonuses, paid overtime, and more. Due to corporate regulations, we cannot work with outside companies on this opening; only direct, individual candidates representing themselves to SES, please.
About SES Systems Engineering Services Corporation
SESC was founded in 1989, is a leading provider of technology solutions to Fortune 1000 companies and government organizations. Specializing in Accelerated Development (agile application development, mobile, systems integration, project and program management), Architecture (SOA, microservices, cloud), Data (analytics, DW, BI, big data), Testing (test architecture, manual, automation, data), Cyber Security (SSO, mobile, IAM) and DevOps (roadmap creation, assessments, CICD, tool evaluation, implementation), Employer is guided by a corporate mission to provide valuable solutions to our client s technology needs through responsive quality services.
Please contact me to discuss the details of this position further.
*Please forward resume directly to for immediate consideration.
I look forward to speaking with you soon!
Robin Starinieri
Sr. Technical Recruiter
Systems Engineering Services
540-905-1118"
 API SDET Engineer , Alleare Consulting , Remote,"SDET QA Engineer
Long-term Contract
Remote
IMMEDIATE new job opening for an SDET Quality Assurance Engineer to join our team and work remotely for our global client. The right candidate is passionate about testing, especially automated testing and can talk about the successes they have achieved through automation. Candidate is responsible for developing, designing and implementing automated and manual testing to support e-commerce initiatives across our online properties. This individual will be a pivotal member of an Agile Scrum team working closely with product owners, front-end developers and back-end developers to drive a successful testing strategy. This individual should be passionate about testing and delivering quality via test automation.
Responsibilities:
o Own and support testing as a member of an agile software development team
o Review story requirements and interpret requirements to develop comprehensive testing strategies
o Critical thinking to translate complex application flows to test cases
o Design, develop and execute automated front end testing leveraging Java with WebDriver / TestNG.
o Design, develop and execute automated services testing leveraging Groovy scripting with JMeter / SoapUI /API.
o Contribute to Enterprise Test Automation Frameworks when needed
o Share in the ownership of consistently delivering highly functional and stable code.
o Provide accurate estimates for test strategy, design and execution work
o Apply an understanding of distributed systems to configure test environments and execute test plans.
o Document, communicate and escalate test results and defects
o Utilize Test Management tool to maintaining automated and manual test flows.
o Utilize Jenkins / Maven / Git / Stash for continuous integration and version control of automation artifacts.
o As needed, coordinate activities between US and remote testing teams.
o Be an advocate for new/expanded automation technologies and methodologies.
o Innovation is strongly encouraged and opportunities exist for leveraging existing automated testing capabilities to support non-traditional testing needs
o Be an advocate of technical and business domain knowledge sharing.
o Occasional off-hours support may be required.
Requirements:
o 5+ years of SDET experience (must have ReadyAPI)
o 4 years of API focused Automation experience required
o Development experience with Java or Python required
o At least 5 years of automation experience in the U.S. required
o 5-8 years of experience in development using J2EE/Groovy Shell and DB SQL in Linux and Windows platforms.
o Hands-on engineer with ability to code in various programming languages (preferably in Java), JavaScript, SQL etc. to automate tests for the full solution stack (UI, App Layer, REST API, Web Service).
o Demonstrated experience in test automation development, using frameworks and tools like Junit, TestNG, Appium, Cucumber, Postman as well as REST/JSON APIs.
o Verifiable experience in building and deploying CI systems such Jenkins, Bamboo. Hands-on experience building CI automation pipelines using Jenkins, Docker.
o Data driven, with strong problem-solving skills with analytical capabilities to be able to support theories/solutions using underlying data.
o Knowledge of Cloud based Web Applications Architecture.
o Knowledge of deployment technologies with emphasis on AWS Cloud.
o Knowledge of using the Selenium Grid for parallel execution of Test Cases in Multiple Browsers.
o Good understanding of the Extent Reports2.0, Eclipse IDE and Java for developing the Automation Scripts.
o Experience in developing Feature Files using Gherkins language for the BDD.
o Good Understanding of the CI and CD.
o Experience with the Postman, ReadyAPI with Groovy scripting to Test the APIs.
o Must have worked on the SQL queries and other Database scripts.
o Hands On knowledge of using the No-SQL databases like Couchbase etc.
o Knowledge of using the JMeter or BlazeMeter for the performance testing of the APIs.
o Thorough understanding of concurrency, threading, algorithms, and data structures.
o Good Front End UI experience on HTML, CSS and JavaScript.
o Create and execute SQL queries and validate databases using an automation tool.
o Bachelors or Master's degree in Computer Science, Computer Engineering, or related Engineering field.
o Experience in BDD/TDD, Agile/SCRUM & DevOps team, developed and maintained test sets for the Hospitality relation business.
o 5-8 years of experience in Micro services, Web services testing using SOAP and REST based service & XML, JSON. Experience with CI/CD tools such as Jenkins and GIT and other relevant tools.
o Automation Frameworks and Automating Test Cases using Commercial and Open source tools.
o A minimum of 5-8 years of experience with script and non-script based Functional tools such as Eclipse/IDE, Extent Reports, TestNG, Selenium, Test Complete, and QTP.
o A minimum of 5-8 years of experience in creating frameworks that utilize and interact with DevOps tools such as Couchbase, JIRA, Stash, Bamboo, Confluence, Ready API - Soap UI Pro, Ready API - ServiceV, Git, Jenkins.
**To view all of our open positions, please visit: https://www.alleareconsulting.com/job-openings."
 Sr SDET Engineer (Strong Java applications development experience a MUST!) Big Data preferred , Tech USA ," Remote or Washington, DC, USA","Would you be interested in the following opportunity? It is 100% REMOTE and you can work from home.
Sr. SDET w strong Java (MUST HAVE APPLICATIONS DEVELOPMENT EXP)
REMOTE ( Client out of Washington, DC area)
12+ months
$80-$95/hr (all inclusive)
Strong SDET with Automation in ETL space
One of the programing language knowledge ( JAVA / Python etc.,)
Hands on experience with SQL
Bash and Linux command line fluency
AWS experience a plus
QA Automation (JAVA)
Problem solving aptitude
Good to Have :
Big Data (Not required, just a plus)
Description: Lead Developer in Test
Working independently, the Lead Developer in Test owns the quality of software products delivered within the software development life cycle. The Lead Developer in Test will be directing a team of other Developers in Test. Responsibilities also include developing and executing software testing components, developing automation solutions and performing manual tests throughout the SDLC.
Responsibilities
Develop automation code, scripts, utilities, simulators, data generators, API/Interface testing solutions and other programmatic test tools as required to execute tests.
Ownership of automation architecture (Both Functional and Performance).
Create test plans and test strategies.
Lead a team of Developers in Test.
Champion the collaborative resolution of defects and direct internal process improvement initiatives
Reviews of system architecture, code and design documents.
Effectively communicate testing activities and findings in oral and written formats.
Responsible for identifying project risks and develop mitigation strategies.
Possess domain expertise in the project involved.
Assist with adherence to technology policies and comply with all security controls.
Continually look for ways to innovate and improve testing process to gain efficiencies.
Requirements
Bachelors or Masters in Computer Science or Engineering and 5+ years of cumulative experience in software development and/or test automation.
Excellent understanding of testing process, test types and testing methodologies.
Demonstrated understanding and experience with object oriented design.
Experience with programming in Java (preferred), C++, C#, or Ruby.
Demonstrated understanding and application of algorithms to test solutions.
Extensive experience with SQL and relational database design.
Excellent written and oral communication skills.
Extensive experience with the Unix/Linux environment.
Demonstrable experience of common development technologies (AJAX, J2EE/.NET, Javascript, HTML, XML/XSL, JSON, Web Services [SOAP, REST], Maven/Ant …etc.).
Preferred
Experience using test tools such as WebDriver and JMeter.
Financial services industry experience preferred."
" SDET with JavaScript, Protractor & Cucumber ", Torque Technologies LLC ," Remote or Seattle, WA, USA","Position: Senior SDET with JavaScript, Protractor & Cucumber
Location: Seattle, WA – Remote OK
Duration: 12 months +
Contract W2
Description:
Must Have:
JavaScript Coding, Protractor, Cucumber.
Qualifications
• Hands on testing experience on testing application that are accessed across various platform (Mobile, Tablet and laptops)
• Significant hands on experience using Selenium/WebDriver(JS), Cucumber (JS), Protractor
• Experience testing NodeJS services (or equivalent JS framework) hosted on cloud
• Experience testing Web Application (ReactJS / Angular or equivalent JS Frameworks)
• Knowledge of Appium
• Experience with SQL/NoSQL operations, such as viewing and joining data
• Hands on experience creating and executing test cases and reporting results
Naveen
919-439-7536
Torque Technologies is an “Equal Opportunity Employer” and “Those authorized to work in the United States without sponsorship are encouraged to applies & all other parties authorized to work in the US are encouraged to apply.”"
 Lead SDET Test Engineer , Corporate Systems Associates , Remote,"Job ID: H#4 - Lead SDET Test Engineer - Train
This is 100% Remote
This is a contract to hire opening ONLY.
Looking for an experienced, energetic, and passionate Senior Software Development Engineer. The individual will be part of a large team driving highly visible strategic agenda for the organization. You will coach and ensure the Scrum teams adopts the quality engineering practices. Partners with the Scrum Master, Product Owner, Release Train Engineer and other SDETs to form test strategy to develop and optimize automated test executions. You will have access to the most modern suite of technology for automated testing. Get your hands on Java, Selenium, Angular, Soap UI, Karate, Protractor, Cucumber, Jenkins, and more!
Responsibilities:
Design and build test architectures (test automation frameworks, code libraries, etc.) for the team to use across the platforms.
Identify tools and technologies for implementation that align with business goals, current infrastructure, and the team skill-set.
Create reporting frameworks and actual reports of test results, and set up automated storage and distribution of them.
Manage test data. Prepare test strategy applying industry-accepted practices, tools and technologies.
Provide technical leadership and coaching to all Engineers across the Release Train;. Define strategic direction for testing by providing guidance, feedback, and suggestions to improve quality practices across the Agile Release Train.
Collaborate with other stake holders like Product Managers, System Architects, System Teams and RTE to improve the testing infrastructure and mature the DevOps practices.
Participate in High level and Low level design of the application/system.
Support optimization of regression testing time by leveraging Selenium Grids and Containers.
Provide support to engineers in configuring Virtual Environments and the setup of the E2E integration in lower environments.
Requirements:
Must be authorized to work in the U.S. without company sponsorship.
5+ years of experience with Java programming.
3+ years of experience with Selenium/Protractor.
1+ years of experience with Jenkins.
BS in Computer Science or equivalent experience.
Proactive link: http:/www.csahartford.com/applynow/?resume=3 Email to: (Only resumes with rate, location, work permit restrictions, contact info will be reviewed)"
